Date-Time,Total Water Use (mL),Rotations/sec,Number of Soap Events,Soap Start Time,Soap End Time
04_24_2018_17_53_57,7,3,0,,
04_24_2018_17_54_34,5,2,2,,
,,,,17_54_36,17_54_37
,,,,17_54_38,17_54_38
04_24_2018_17_55_51,0,0,0,,
04_24_2018_17_56_03,0,0,0,,
04_24_2018_17_56_11,0,0,0,,
04_24_2018_17_56_23,0,0,1,,
,,,,17_56_20,17_56_20
04_24_2018_17_56_32,0,0,4,,
,,,,17_56_35,17_56_36
,,,,17_56_36,17_56_36
,,,,17_56_36,17_56_36
,,,,17_56_37,17_56_37
04_24_2018_17_56_43,3,1,5,,
,,,,17_56_51,17_56_51
,,,,17_56_52,17_56_53
,,,,17_56_53,17_56_53
,,,,17_56_56,17_56_56
,,,,17_56_56,17_56_56
,,,,17_56_56,17_56_58
,,,,17_56_58,17_56_58
,,,,17_56_58,17_56_59
04_24_2018_17_57_04,11,5,0,,
04_24_2018_17_57_41,2,0,3,,
,,,,17_57_24,17_57_24
,,,,17_57_24,17_57_24
,,,,17_57_24,17_57_26
,,,,17_57_49,17_57_51
04_24_2018_17_57_54,0,0,2,,
,,,,17_57_53,17_57_59
,,,,17_57_59,17_57_59
04_24_2018_17_58_14,0,0,7,,
,,,,17_58_02,17_58_03
,,,,17_58_03,17_58_12
,,,,17_58_13,17_58_13
,,,,17_58_13,17_58_14
,,,,17_58_14,17_58_14
,,,,17_58_14,17_58_14
,,,,17_58_14,17_58_14
,,,,17_58_15,17_58_15
,,,,17_58_15,17_58_15
,,,,17_58_16,17_58_18
,,,,17_58_18,17_58_19
04_24_2018_17_59_05,0,0,1,,
04_24_2018_17_59_13,0,0,1,,
,,,,17_59_10,17_59_20
04_24_2018_17_59_25,0,0,0,,
04_24_2018_17_59_34,1,0,0,,
04_24_2018_17_59_55,0,0,5,,
,,,,18_00_00,18_00_00
,,,,18_00_00,18_00_00
,,,,18_00_00,18_00_01
,,,,18_00_01,18_00_01
